Day,Time,"Subject (Teacher below)"
Monday,08:00,"AC
TBD"
Monday,08:40,"HTM
TBD"
Monday,09:20,"KISW
TBD"
Monday,10:00,"ENG
TBD"
Monday,10:40,"FREN
TBD"
